"file","action","title","category","renderedChars","renderedWords","steps","sources","uniqueSourceHosts","issues"
"ac-heating-daikin-air-conditioner-bad-smell.mdx","keep","Daikin air conditioner: появился запах или гарь","Кондиционеры и обогрев","3578","456","6","4","4",""
"ac-heating-daikin-air-conditioner-does-not-drain.mdx","keep","Daikin air conditioner: не сливает воду","Кондиционеры и обогрев","3562","459","6","4","4",""
"ac-heating-daikin-air-conditioner-does-not-heat.mdx","keep","Daikin air conditioner: не греет","Кондиционеры и обогрев","3544","455","6","4","4",""
"ac-heating-daikin-air-conditioner-error-code.mdx","keep","Daikin air conditioner: показывает код ошибки","Кондиционеры и обогрев","3589","459","6","4","4",""
"ac-heating-daikin-air-conditioner-leaks-water.mdx","keep","Daikin air conditioner: протекает","Кондиционеры и обогрев","3559","450","6","4","4",""
"ac-heating-daikin-air-conditioner-makes-noise.mdx","keep","Daikin air conditioner: шумит или вибрирует","Кондиционеры и обогрев","3543","452","6","4","4",""
"ac-heating-daikin-air-conditioner-stops-mid-cycle.mdx","keep","Daikin air conditioner: останавливается во время работы","Кондиционеры и обогрев","3629","462","6","4","4",""
"ac-heating-daikin-air-conditioner-wont-turn-on.mdx","keep","Daikin air conditioner: не включается","Кондиционеры и обогрев","3586","459","6","4","4",""
"ac-heating-daikin-kondicioner-bad-smell.mdx","keep","Daikin кондиционер: появился запах при работе","Кондиционеры и обогрев","4138","530","6","4","4",""
"ac-heating-daikin-kondicioner-does-not-start.mdx","keep","Daikin кондиционер: не запускается","Кондиционеры и обогрев","4133","531","6","4","4",""
"ac-heating-daikin-kondicioner-error-code.mdx","keep","Daikin кондиционер: показывает код ошибки","Кондиционеры и обогрев","4130","530","6","4","4",""
"ac-heating-daikin-kondicioner-leaks-water.mdx","keep","Daikin кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","4150","533","6","4","4",""
"ac-heating-daikin-kondicioner-noise-vibration.mdx","keep","Daikin кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4143","531","6","4","4",""
"ac-heating-daikin-kondicioner-stops-mid-cycle.mdx","keep","Daikin кондиционер: останавливается в середине цикла","Кондиционеры и обогрев","4144","530","6","4","4",""
"ac-heating-drenazh-kondicionera-bad-smell.mdx","keep","дренаж кондиционера: появился запах при работе","Кондиционеры и обогрев","4143","530","6","3","3",""
"ac-heating-drenazh-kondicionera-does-not-start.mdx","keep","дренаж кондиционера: не запускается","Кондиционеры и обогрев","4138","531","6","3","3",""
"ac-heating-drenazh-kondicionera-leaks-water.mdx","keep","дренаж кондиционера: подтекает снизу или у двери","Кондиционеры и обогрев","4155","533","6","3","3",""
"ac-heating-drenazh-kondicionera-noise-vibration.mdx","keep","дренаж кондиционера: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4148","531","6","3","3",""
"ac-heating-drenazh-kondicionera-stops-mid-cycle.mdx","keep","дренаж кондиционера: останавливается в середине цикла","Кондиционеры и обогрев","4149","530","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-bad-smell.mdx","keep","электрический обогреватель: появился запах при работе","Кондиционеры и обогрев","4178","530","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-does-not-start.mdx","keep","электрический обогреватель: не запускается","Кондиционеры и обогрев","4173","531","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-error-code.mdx","keep","электрический обогреватель: показывает код ошибки","Кондиционеры и обогрев","4170","530","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-leaks-water.mdx","keep","электрический обогреватель: подтекает снизу или у двери","Кондиционеры и обогрев","4190","533","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-noise-vibration.mdx","keep","электрический обогреватель: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4183","531","6","3","3",""
"ac-heating-elektricheskiy-obogrevatel-stops-mid-cycle.mdx","keep","электрический обогреватель: останавливается в середине цикла","Кондиционеры и обогрев","4184","530","6","3","3",""
"ac-heating-filtr-kondicionera-bad-smell.mdx","keep","фильтр кондиционера: появился запах при работе","Кондиционеры и обогрев","4143","530","6","3","3",""
"ac-heating-filtr-kondicionera-does-not-start.mdx","keep","фильтр кондиционера: не запускается","Кондиционеры и обогрев","4138","531","6","3","3",""
"ac-heating-filtr-kondicionera-error-code.mdx","keep","фильтр кондиционера: показывает код ошибки","Кондиционеры и обогрев","4135","530","6","3","3",""
"ac-heating-filtr-kondicionera-leaks-water.mdx","keep","фильтр кондиционера: подтекает снизу или у двери","Кондиционеры и обогрев","4155","533","6","3","3",""
"ac-heating-filtr-kondicionera-noise-vibration.mdx","keep","фильтр кондиционера: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","4148","531","6","3","3",""
"ac-heating-filtr-kondicionera-stops-mid-cycle.mdx","keep","фильтр кондиционера: останавливается в середине цикла","Кондиционеры и обогрев","4149","530","6","3","3",""
"ac-heating-lg-air-conditioner-bad-smell.mdx","keep","LG air conditioner: появился запах или гарь","Кондиционеры и обогрев","3562","456","6","4","3",""
"ac-heating-lg-air-conditioner-does-not-drain.mdx","keep","LG air conditioner: не сливает воду","Кондиционеры и обогрев","3546","459","6","4","3",""
