"action","score","file","title","category","bodyLines","bodyChars","steps","avgStepBodyChars","sources","generatedBatch","issues"
"изменить","30","src/content/errors/printers-brother-printer-disconnects-randomly.mdx","Brother Printer: самопроизвольно отключается","Принтеры и сканеры","8","1226","6","271","2","no","body has only 8 non-empty lines; body has only 1226 characters; only 2 sources"
"изменить","30","src/content/errors/printers-brother-printer-driver-error.mdx","Brother Printer: ошибка драйвера","Принтеры и сканеры","8","1214","6","280","2","no","body has only 8 non-empty lines; body has only 1214 characters; only 2 sources"
"изменить","30","src/content/errors/printers-brother-printer-firmware-update-failed.mdx","Brother Printer: ошибка обновления прошивки","Принтеры и сканеры","8","1225","6","274","2","no","body has only 8 non-empty lines; body has only 1225 characters; only 2 sources"
"изменить","30","src/content/errors/printers-brother-printer-low-performance.mdx","Brother Printer: низкая производительность","Принтеры и сканеры","8","1224","6","277","2","no","body has only 8 non-empty lines; body has only 1224 characters; only 2 sources"
"изменить","30","src/content/errors/printers-brother-printer-not-detected.mdx","Brother Printer: не определяется системой","Принтеры и сканеры","8","1223","6","272","2","no","body has only 8 non-empty lines; body has only 1223 characters; only 2 sources"
"изменить","30","src/content/errors/printers-samsung-printer-disconnects-randomly.mdx","Samsung Printer: самопроизвольно отключается","Принтеры и сканеры","8","1226","6","271","2","no","body has only 8 non-empty lines; body has only 1226 characters; only 2 sources"
"изменить","30","src/content/errors/printers-samsung-printer-not-detected.mdx","Samsung Printer: не определяется системой","Принтеры и сканеры","8","1223","6","272","2","no","body has only 8 non-empty lines; body has only 1223 characters; only 2 sources"
"изменить","52","src/content/errors/docker-desktop-ne-zapuskaetsya-oshibka-windows.mdx","Docker Desktop не запускается в Windows: исправление ошибок WSL","Docker и контейнеры","8","1265","6","254","4","no","body has only 8 non-empty lines; body has only 1265 characters; sources come from one host only"
"изменить","52","src/content/errors/igry-nvidia-game-error-generic-reshenie-problem-s-igrami-svyazannyh-s-videokartami-nvidia-i-tehn.mdx","Решение проблем с играми, связанных с видеокартами NVIDIA и техническими ошибками","Игры","8","1313","6","305","4","no","body has only 8 non-empty lines; body has only 1313 characters; sources come from one host only"
"изменить","52","src/content/errors/igry-opengl-controller-error-game-ustranenie-problem-s-opengl-v-igrah-reshenie-dlya-videokart-i.mdx","Устранение проблем с OpenGL в играх: решение для видеокарт и эмуляторов","Игры","8","1257","6","315","4","no","body has only 8 non-empty lines; body has only 1257 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-arch-generic-troubleshooting-osnovy-raboty-s-arch-linux-podhod-k-resheniyu-potentsialnyh-s.mdx","Основы работы с Arch Linux: Подход к решению потенциальных сложностей","Linux","8","1258","6","280","4","no","body has only 8 non-empty lines; body has only 1258 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-arch-linux-update-instability-osobennosti-obnovlenii-v-distributivah-na-baze-arch-linux-i.mdx","Особенности обновлений в дистрибутивах на базе Arch Linux и потенциальные причины проблем","Linux","8","1341","6","281","4","no","body has only 8 non-empty lines; body has only 1341 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-arch-service-start-issue-001-ponimanie-raboty-sluzhb-v-arch-linux-obzor-bazovyh-komponento.mdx","Понимание работы служб в Arch Linux: обзор базовых компонентов системы","Linux","8","1268","6","263","4","no","body has only 8 non-empty lines; body has only 1268 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-boot-error-fix-ispravlenie-oshibki-zagruzki-debian.mdx","Исправление ошибки загрузки Debian","Linux","8","1231","6","254","4","no","body has only 8 non-empty lines; body has only 1231 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-boot-error-ustranenie-oshibok-zagruzki-debian.mdx","Устранение ошибок загрузки Debian","Linux","8","1229","6","258","4","no","body has only 8 non-empty lines; body has only 1229 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-command-not-found-kak-ispravit-oshibku-command-not-found-v-debian.mdx","Как исправить ошибку ""command not found"" в Debian","Linux","8","1261","6","266","4","no","body has only 8 non-empty lines; body has only 1261 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-config-001-kak-ispravit-oshibki-konfiguratsii-paketov-v-debian-s-pomoschyu-debconf.mdx","Как исправить ошибки конфигурации пакетов в Debian с помощью debconf","Linux","8","1299","6","269","4","no","body has only 8 non-empty lines; body has only 1299 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-package-error-ispravlenie-oshibok-pri-rabote-s-paketami-v-debian.mdx","Как исправить ошибки пакетов в Debian и производных дистрибутивах Linux","Linux","8","1305","6","269","4","no","body has only 8 non-empty lines; body has only 1305 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-update-fail-ustranenie-problem-s-debian-posle-obnovleniya.mdx","Устранение проблем с Debian после обновления","Linux","8","1251","6","259","4","no","body has only 8 non-empty lines; body has only 1251 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-debian-update-failure-reshenie-problem-s-debian-posle-obnovleniya.mdx","Что делать, если Debian перестал работать после обновления","Linux","8","1279","6","266","4","no","body has only 8 non-empty lines; body has only 1279 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-fedora-brew-error-ispravlenie-oshibok-homebrew-brew-v-fedora-linux.mdx","Исправление ошибок Homebrew (Brew) в Fedora Linux","Linux","8","1261","6","257","4","no","body has only 8 non-empty lines; body has only 1261 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-fedora-package-error-ustranenie-oshibok-pri-ustanovke-i-obnovlenii-paketov-v-fedora.mdx","Устранение ошибок при установке и обновлении пакетов в Fedora","Linux","8","1285","6","264","4","no","body has only 8 non-empty lines; body has only 1285 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-kernel-crash-ubuntu-ustranenie-oshibok-yadra-v-ubuntu-diagnostika-i-ispravlenie.mdx","Устранение ошибок ядра в Ubuntu: диагностика и исправление","Linux","8","1252","6","255","4","no","body has only 8 non-empty lines; body has only 1252 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-kernel-error-debian-ustranenie-oshibok-yadra-linux-v-debian.mdx","Устранение ошибок ядра Linux в Debian","Linux","8","1237","6","258","4","no","body has only 8 non-empty lines; body has only 1237 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-kernel-panic-arch-ustranenie-oshibok-yadra-v-arch-linux.mdx","Устранение ошибок ядра Linux в Arch Linux","Linux","8","1245","6","270","4","no","body has only 8 non-empty lines; body has only 1245 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-manjarocommandnotfound-kak-ispravit-oshibku-command-not-found-v-manjaro.mdx","Как исправить ошибку 'command not found' в Manjaro","Linux","8","1263","6","273","4","no","body has only 8 non-empty lines; body has only 1263 characters; sources come from one host only"
"изменить","52","src/content/errors/linux-manjarogeneraltroubleshooting-obschie-rekomendatsii-po-ustraneniyu-nepoladok-v-manjaro-lin.mdx","Общие рекомендации по устранению неполадок в Manjaro Linux","Linux","8","1279","6","255","4","no","body has only 8 non-empty lines; body has only 1279 characters; sources come from one host only"
