"action","score","file","title","category","bodyLines","bodyChars","steps","avgStepBodyChars","sources","generatedBatch","issues"
"оставить","94","src/content/errors/bitlocker-recovery-key-loop-fix.mdx","BitLocker постоянно просит recovery key: причины и решение","Безопасность","26","3915","7","239","4","no","body has 26 non-empty lines"
"оставить","94","src/content/errors/npm-enoent-package-json.mdx","npm ERR! enoent: нет package.json в текущей папке","Веб-разработка","25","3904","6","188","3","no","body has 25 non-empty lines"
"оставить","94","src/content/errors/onedrive-sync-pending-stuck-fix.mdx","OneDrive завис на Sync pending: как исправить синхронизацию","Офисные программы","32","3467","7","235","4","no","body has 32 non-empty lines"
"оставить","94","src/content/errors/virtualbox-vt-x-amd-v-unavailable-fix.mdx","VirtualBox VT-x/AMD-V недоступен: как включить виртуализацию","Виртуализация","26","4058","7","262","4","no","body has 26 non-empty lines"
"оставить","94","src/content/errors/windows-dism-0x800f081f-source-files-not-found.mdx","DISM 0x800f081f: исходные файлы не найдены в Windows","Windows","25","3787","7","279","4","no","body has 25 non-empty lines"
"оставить","94","src/content/errors/wsl-no-internet-dns-fix.mdx","WSL нет интернета или не работает DNS: как исправить","Windows","26","3911","7","251","4","no","body has 26 non-empty lines"
"оставить","100","src/content/errors/igry-cod-crash-pc-kak-ispravit-vylety-call-of-duty-warzone-i-drugih-igr-serii-na-pk.mdx","Как исправить вылеты Call of Duty: Warzone и других игр серии на ПК","Игры","67","7708","8","809","4","no",""
"оставить","100","src/content/errors/igry-cod-launch-fail-001-chto-delat-esli-call-of-duty-ne-zapuskaetsya-na-pk.mdx","Что делать, если Call of Duty не запускается на ПК","Игры","107","6314","6","995","3","no",""
"оставить","100","src/content/errors/igry-exception-access-violation-d3d12rhi-reshenie-problemy-s-chernym-ekranom-pri-zapuske-satisfa.mdx","Решение проблемы с черным экраном при запуске Satisfactory","Игры","41","6588","7","678","4","no",""
"оставить","100","src/content/errors/linux-kernel-panic-vfs-unable-to-mount-root-fs-ispravlenie-oshibki-kernel-panic-not-syncing-vfs.mdx","Исправление ошибки ""Kernel Panic - not syncing: VFS: Unable to mount root fs on unknown-block(0,0)"" в Ubuntu","Linux","42","3197","6","261","3","no",""
"оставить","100","src/content/errors/postgresql-not-starting-fix.mdx","PostgreSQL не запускается: исправление ошибок в Ubuntu/Debian","Базы данных","110","5837","6","354","4","no",""
"оставить","100","src/content/errors/windows-0x80370102-ispravlenie-oshibki-wsl-virtualizatsiya-ne-vklyuchena-ili-otsutstvuet-platfor.mdx","Исправление ошибки WSL: Виртуализация не включена или отсутствует платформа виртуальной машины (0x80370102)","Windows","47","4194","6","459","3","no",""
"оставить","100","src/content/errors/windows-nvidia-driver-fatal-error-ustranenie-kriticheskoi-oshibki-draivera-nvidia-video-dxgkrnl.mdx","Устранение критической ошибки драйвера NVIDIA (VIDEO_DXGKRNL_FATAL_ERROR)","Windows","40","7164","6","955","4","no",""
