"action","file","title","category","steps","sources","issues"
"pass","src/content/errors/ac-heating-daikin-air-conditioner-bad-smell.mdx","Daikin air conditioner: появился запах или гарь","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-does-not-drain.mdx","Daikin air conditioner: не сливает воду","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-does-not-heat.mdx","Daikin air conditioner: не греет","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-error-code.mdx","Daikin air conditioner: показывает код ошибки","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-leaks-water.mdx","Daikin air conditioner: протекает","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-makes-noise.mdx","Daikin air conditioner: шумит или вибрирует","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-stops-mid-cycle.mdx","Daikin air conditioner: останавливается во время работы","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-air-conditioner-wont-turn-on.mdx","Daikin air conditioner: не включается","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-kondicioner-bad-smell.mdx","Daikin кондиционер: появился запах при работе","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-kondicioner-does-not-start.mdx","Daikin кондиционер: не запускается","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-kondicioner-error-code.mdx","Daikin кондиционер: показывает код ошибки","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-kondicioner-leaks-water.mdx","Daikin кондиционер: подтекает снизу или у двери","Кондиционеры и обогрев","6","4",""
"pass","src/content/errors/ac-heating-daikin-kondicioner-noise-vibration.mdx","Daikin кондиционер: шумит или вибрирует сильнее обычного","Кондиционеры и обогрев","6","4",""
